1540324758 97.50 110.64 136.45
1540324759 90.69 100.32 136.51
1540324760 86.64 90.79 136.71
1540324761 81.31 82.97 136.95
1540324763 81.00 82.90 136.97
1540324764 77.86 80.44 136.85
1540324765 75.93 78.49 136.81
1540324766 77.07 81.03 136.84
1540324768 74.64 78.38 136.67
1540324769 74.36 78.85 137.28
1540324770 77.83 81.94 137.48
1540324772 73.61 78.45 137.31
1540324773 75.14 79.90 137.42
1540324774 74.89 79.88 137.38
1540324775 75.42 79.83 137.43
1540324777 75.58 80.32 137.33
1540324778 75.21 79.37 137.39
1540324779 73.20 78.20 137.37
1540324780 75.97 80.96 137.33
1540324782 74.38 79.28 137.39
1540324783 74.81 80.23 137.31
1540324784 75.39 80.29 137.39
1540324786 73.72 78.33 137.35
1540324787 76.43 81.79 137.42
1540324788 74.20 79.39 137.47
1540324789 74.57 79.39 137.37
1540324791 76.20 80.97 137.39
1540324792 73.98 78.77 137.32
1540324793 75.76 80.28 137.38
1540324794 74.24 78.65 137.51
1540324796 74.49 79.53 137.47
1540324797 76.92 82.17 137.44
1540324798 73.90 78.61 137.32
1540324800 75.65 80.83 137.45
1540324801 75.43 80.15 137.41
1540324802 74.72 79.48 137.33
1540324803 75.74 80.57 137.35
1540324805 74.48 79.44 137.48
1540324806 74.19 79.35 137.54
1540324807 74.01 78.72 137.46
1540324808 74.63 79.42 137.49
1540324810 74.84 80.46 137.38
1540324811 73.20 78.51 137.52
1540324812 74.02 78.85 137.39
1540324814 76.01 80.68 137.44
1540324815 75.93 81.09 137.39
1540324816 74.90 80.25 137.45
1540324817 75.59 80.60 137.48
1540324819 75.71 80.84 137.33
1540324820 75.15 80.61 137.32
1540324821 74.11 79.14 137.48
1540324822 73.45 79.13 137.31
1540324824 75.11 79.83 137.46
1540324825 73.15 78.25 137.41
1540324826 75.09 80.17 137.57
1540324828 73.20 78.18 137.29
1540324829 74.60 78.96 137.36
1540324830 72.81 78.21 137.44
1540324831 75.17 80.08 137.25
1540324833 74.45 80.12 137.34
1540324834 74.16 79.09 137.24
1540324835 73.85 79.43 137.40
1540324837 74.59 79.64 137.45
1540324838 74.99 79.84 137.39
1540324839 74.95 79.10 137.39
1540324840 73.54 79.31 137.43
1540324842 74.67 79.67 137.41
1540324843 73.57 79.23 137.45
1540324844 74.78 79.35 137.60
1540324845 75.95 81.14 137.35
1540324847 75.28 79.94 137.51
1540324848 73.14 78.35 137.44
1540324849 74.50 79.48 137.54
1540324851 74.16 79.32 137.48
1540324852 75.35 80.77 137.38
1540324853 76.75 81.89 137.35
1540324854 75.09 80.03 137.47
1540324856 75.52 80.13 137.44
1540324857 74.88 79.80 137.42
1540324858 74.14 78.92 137.33
1540324859 73.23 78.38 137.48
1540324861 76.05 81.21 137.45
1540324862 73.69 78.54 137.48
1540324863 76.18 80.67 137.39
1540324865 73.79 79.11 137.32
1540324866 74.80 80.10 137.43
1540324867 72.91 77.98 137.29
1540324868 73.63 78.79 137.32
