1540561249 14.55 17.95 126.88 8.01 5.62
1540561250 13.13 17.90 126.23 8.12 5.59
1540561251 14.00 17.91 126.81 8.07 5.63
1540561119 -10.63 63.23 126.71 8.38 5263.17
1540561120 3.03 40.40 126.83 8.54 4263.80
1540561121 4.28 32.77 126.79 8.43 3452.46
1540561122 6.91 29.36 126.79 8.28 2798.86
1540561124 8.56 24.93 126.90 8.30 2270.73
1540561125 7.90 23.55 126.80 8.28 1841.46
1540561126 8.35 23.15 126.94 8.00 1496.59
1540561127 10.78 20.58 126.93 8.11 1213.59
1540561129 11.53 20.36 126.88 8.15 984.85
1540561130 11.67 19.47 126.81 7.87 797.89
1540561131 11.66 19.66 126.74 8.05 647.63
1540561133 12.13 18.90 126.73 7.91 524.94
1540561134 12.84 18.70 127.02 8.04 427.91
1540561135 11.81 18.00 126.89 7.96 346.18
1540561136 13.27 18.07 126.75 8.00 280.94
1540561138 12.42 17.84 126.77 8.24 227.54
1540561139 12.52 18.00 126.24 7.98 184.39
1540561140 13.68 17.82 126.18 8.12 149.27
1540561141 12.55 17.53 125.02 8.02 120.39
1540561143 12.52 17.45 125.58 7.91 97.92
1540561144 13.86 17.69 126.37 8.08 80.33
1540561145 13.51 17.98 126.58 8.10 65.97
1540561147 13.31 18.20 126.40 8.20 54.08
1540561148 12.87 18.25 126.37 8.04 43.70
1540561149 13.46 17.99 125.99 7.96 35.44
1540561150 12.85 18.11 126.70 8.14 29.08
1540561152 13.12 18.10 126.64 8.02 24.31
1540561153 13.73 18.09 126.58 8.29 19.87
1540561154 14.08 18.00 126.75 8.05 16.11
1540561155 13.48 18.09 126.64 8.01 14.11
1540561157 13.89 17.88 126.65 8.00 11.29
1540561158 13.58 17.88 126.48 7.90 9.32
1540561159 13.11 18.09 126.65 7.99 9.03
1540561161 13.86 17.94 126.70 8.09 7.48
1540561162 14.29 17.87 126.79 8.05 6.72
1540561163 13.80 17.95 125.96 8.05 6.64
1540561164 13.78 17.73 125.91 7.97 6.08
1540561166 13.88 17.83 125.63 8.10 6.12
1540561167 14.04 17.79 125.78 8.01 6.11
1540561168 13.62 18.00 126.12 8.13 6.11
1540561169 13.66 18.02 126.17 7.91 5.89
1540561171 12.46 17.99 126.30 8.04 5.65
1540561172 14.30 18.00 126.22 8.11 5.85
1540561173 13.95 17.98 125.88 7.93 5.71
1540561175 12.74 18.01 126.15 8.12 5.65
1540561176 13.29 18.00 126.45 7.94 5.65
1540561177 13.37 17.96 126.42 7.91 5.59
1540561178 13.83 17.87 126.38 7.88 5.57
1540561180 14.36 17.93 126.37 8.00 5.62
1540561181 14.74 17.84 126.51 8.12 5.49
1540561182 15.02 17.83 126.30 7.92 5.55
1540561184 13.48 17.92 126.39 7.90 5.59
1540561185 14.54 18.10 126.35 7.93 5.68
1540561186 14.03 17.91 126.43 8.07 5.65
1540561187 13.13 18.00 126.53 8.01 5.75
1540561189 14.14 18.06 126.31 7.78 5.59
1540561190 14.30 18.08 126.48 7.98 5.66
1540561191 12.86 18.06 126.47 8.09 5.66
1540561192 14.64 17.93 126.34 7.97 5.60
1540561194 13.64 18.00 126.38 7.99 5.68
1540561195 14.01 17.94 126.45 8.19 5.64
1540561196 14.22 17.95 126.61 8.07 5.63
1540561198 13.78 17.93 126.45 8.07 5.62
1540561199 13.02 17.97 126.67 8.05 5.62
1540561200 14.46 18.04 126.43 8.19 5.62
1540561201 13.70 17.76 126.32 8.21 5.54
1540561203 13.83 17.90 126.45 8.01 5.59
1540561204 14.02 18.02 126.55 8.03 5.63
1540561205 14.81 17.95 126.39 8.14 5.62
1540561206 14.82 18.05 126.65 8.15 5.59
1540561208 13.77 18.04 126.49 8.09 5.66
1540561209 13.91 18.11 126.75 8.14 5.66
1540561210 12.45 18.01 126.49 7.96 5.66
