2 0.01 70.50 0.56
64 24.16 126.05 0.64 1.62 0.01 1.62 0.01 75.24 0.60
1540407252 73.97 81.48 34.18 126.36 0.64 1.63 0.01 1.63 0.01 67.98 0.54
1540407253 72.47 76.27 23.78 126.36 0.60 1.63 0.01 11.31 0.09 74.28 0.59
1540407255 82.30 86.72 27.34 126.45 0.69 1.63 0.01 8.09 0.06 70.82 0.56
1540407256 71.44 79.80 35.56 126.42 0.63 1.63 0.01 1.63 0.01 72.06 0.57
1540407257 73.25 79.72 31.47 126.52 0.63 1.63 0.01 8.09 0.06 72.25 0.57
1540407259 76.67 82.05 29.23 126.46 0.65 1.63 0.01 8.09 0.06 75.76 0.60
1540407260 71.67 77.12 28.48 126.35 0.61 1.63 0.01 1.63 0.01 70.92 0.56
1540407261 78.68 79.78 13.23 126.42 0.63 1.63 0.01 1.63 0.01 76.68 0.61
1540407262 76.49 82.17 30.02 126.56 0.65 1.63 0.01 1.63 0.01 75.37 0.60
1540407264 74.29 80.39 30.71 126.32 0.64 1.63 0.01 11.31 0.09 74.11 0.59
1540407265 80.89 81.13 6.15 126.32 0.64 1.63 0.01 17.76 0.14 74.74 0.59
1540407266 74.30 76.88 19.76 126.35 0.61 8.08 0.06 1.63 0.01 72.44 0.57
1540407268 70.17 76.38 30.18 126.39 0.60 1.63 0.01 1.63 0.01 76.73 0.61
1540407269 75.85 82.24 31.78 126.57 0.65 1.63 0.01 8.09 0.06 74.55 0.59
1540407270 75.02 80.53 29.27 126.44 0.64 1.63 0.01 13.81 0.11 74.39 0.59
1540407271 69.36 75.64 30.20 126.47 0.60 11.32 0.09 8.09 0.06 70.57 0.56
1540407273 76.05 81.42 29.09 126.50 0.64 8.09 0.06 1.63 0.01 73.18 0.58
1540407274 73.36 79.91 31.68 126.55 0.63 1.63 0.01 1.63 0.01 73.28 0.58
1540407275 71.32 79.00 33.98 126.51 0.62 1.63 0.01 1.63 0.01 72.93 0.58
1540407277 70.48 78.80 35.24 126.42 0.62 1.63 0.01 11.32 0.09 73.37 0.58
1540407278 73.46 77.24 23.84 126.42 0.61 1.63 0.01 1.63 0.01 73.78 0.58
1540407279 74.36 78.06 23.74 126.42 0.62 1.63 0.01 1.63 0.01 71.07 0.56
1540407280 74.75 79.69 27.63 126.47 0.63 1.63 0.01 8.09 0.06 73.72 0.58
1540407282 78.77 80.47 16.47 126.42 0.64 8.09 0.06 1.63 0.01 75.26 0.60
1540407283 71.69 77.17 28.54 126.46 0.61 1.63 0.01 11.32 0.09 74.68 0.59
1540407284 73.98 76.90 20.99 126.34 0.61 1.63 0.01 1.63 0.01 73.88 0.58
1540407285 66.02 70.76 25.49 126.29 0.56 1.63 0.01 1.63 0.01 71.84 0.57
1540407287 76.81 80.14 22.86 126.31 0.63 1.63 0.01 8.08 0.06 73.30 0.58
1540407288 76.41 81.20 27.45 126.37 0.64 1.63 0.01 11.31 0.09 70.88 0.56
1540407289 73.05 78.04 27.46 126.47 0.62 1.63 0.01 1.63 0.01 72.01 0.57
1540407291 76.89 79.50 20.23 126.54 0.63 1.63 0.01 1.63 0.01 73.51 0.58
1540407292 73.64 79.66 30.38 126.48 0.63 1.63 0.01 1.63 0.01 71.75 0.57
1540407293 78.38 84.66 32.01 126.54 0.67 1.63 0.01 8.09 0.06 64.33 0.51
1540407294 74.98 80.51 29.33 126.47 0.64 1.63 0.01 1.63 0.01 70.80 0.56
1540407296 73.49 77.93 25.94 126.34 0.62 8.08 0.06 1.63 0.01 74.28 0.59
1540407297 73.36 78.86 28.94 126.37 0.62 1.63 0.01 1.63 0.01 72.56 0.57
1540407298 69.66 75.62 29.43 126.44 0.60 1.63 0.01 8.09 0.06 76.00 0.60
1540407300 73.04 79.09 30.33 126.47 0.63 1.63 0.01 1.63 0.01 75.67 0.60
1540407301 71.11 76.30 27.68 126.31 0.60 1.63 0.01 13.79 0.11 74.67 0.59
1540407302 67.01 75.58 34.96 126.38 0.60 1.63 0.01 8.08 0.06 74.14 0.59
1540407303 75.34 79.67 25.92 126.43 0.63 8.09 0.06 1.63 0.01 72.49 0.57
1540407305 74.72 77.10 19.03 126.48 0.61 1.64 0.01 1.63 0.01 74.45 0.59
1540407306 80.31 82.61 19.38 126.33 0.65 1.63 0.01 1.63 0.01 76.13 0.60
1540407307 76.57 79.34 20.78 126.34 0.63 1.63 0.01 1.63 0.01 70.38 0.56
1540407309 72.01 74.92 20.71 126.22 0.59 1.63 0.01 11.30 0.09 72.92 0.58
1540407310 75.65 79.59 24.74 126.37 0.63 8.08 0.06 1.63 0.01 76.64 0.61
1540407311 79.46 81.64 18.77 126.47 0.65 1.63 0.01 1.63 0.01 73.12 0.58
1540407312 74.97 82.26 33.85 126.40 0.65 8.08 0.06 1.63 0.01 76.07 0.60
1540407314 75.99 80.26 25.84 126.19 0.64 1.63 0.01 11.29 0.09 74.22 0.59
1540407315 75.34 77.67 18.89 126.33 0.61 1.63 0.01 1.63 0.01 72.43 0.57
1540407316 72.80 79.00 30.67 126.47 0.62 1.63 0.01 1.63 0.01 71.72 0.57
1540407318 69.78 75.52 28.88 126.46 0.60 1.63 0.01 13.82 0.11 72.49 0.57
1540407319 62.53 70.32 32.16 126.37 0.56 8.08 0.06 1.63 0.01 68.27 0.54
1540407320 71.44 76.26 26.67 126.32 0.60 1.63 0.01 1.63 0.01 72.75 0.58
1540407321 73.88 81.45 34.31 126.34 0.64 1.63 0.01 8.08 0.06 73.15 0.58
1540407323 76.04 82.19 31.20 126.47 0.65 1.63 0.01 1.63 0.01 72.65 0.57
1540407324 71.52 78.93 33.37 126.41 0.62 1.63 0.01 1.63 0.01 71.25 0.56
1540407325 75.59 79.61 24.97 126.36 0.63 1.63 0.01 1.63 0.01 72.33 0.57
1540407327 73.38 77.98 26.40 126.38 0.62 1.63 0.01 1.63 0.01 73.60 0.58
1540407328 74.48 76.98 19.46 126.41 0.61 1.63 0.01 1.63 0.01 72.55 0.57
1540407329 80.21 83.41 22.88 126.30 0.66 1.63 0.01 1.63 0.01 72.55 0.57
1540407330 76.34 80.19 24.55 126.37 0.63 1.63 0.01 1.63 0.01 74.15 0.59
1540407332 73.28 78.78 28.93 126.29 0.62 1.63 0.01 1.63 0.01 71.21 0.56
1540407333 69.55 77.42 33.99 126.36 0.61 1.63 0.01 1.63 0.01 70.53 0.56
1540407334 78.31 81.96 24.18 126.45 0.65 1.63 0.01 1.63 0.01 73.15 0.58
1540407336 77.32 82.10 27.63 126.40 0.65 1.63 0.01 11.31 0.09 72.94 0.58
