 99.95 111.30 136.92 0.81 0.90
 93.19 104.49 137.04 0.76 0.89
 88.34 92.63 137.10 0.68 0.95
 84.89 88.33 137.39 0.64 0.96
 78.11 81.19 137.23 0.59 0.96
 77.92 81.03 137.45 0.59 0.96
 78.63 82.32 137.40 0.60 0.96
 77.72 82.44 137.38 0.60 0.94
 71.26 77.14 137.40 0.56 0.92
 77.60 82.59 137.34 0.60 0.94
 74.19 79.60 137.18 0.58 0.93
 73.27 79.33 137.17 0.58 0.92
 74.64 79.99 137.25 0.58 0.93
 76.10 81.97 137.20 0.60 0.93
 74.90 80.58 137.21 0.59 0.93
 74.54 80.42 137.23 0.59 0.93
 74.08 79.80 137.21 0.58 0.93
 73.61 79.68 137.26 0.58 0.92
 74.82 81.01 137.23 0.59 0.92
 73.73 79.74 137.19 0.58 0.92
 74.67 80.26 137.17 0.59 0.93
 74.80 80.75 137.14 0.59 0.93
 74.18 80.89 137.26 0.59 0.92
 73.43 79.82 137.09 0.58 0.92
 73.15 79.44 137.22 0.58 0.92
 73.75 79.80 137.16 0.58 0.92
 74.66 79.99 137.28 0.58 0.93
 75.27 80.49 137.12 0.59 0.94
 76.68 82.38 137.30 0.60 0.93
 73.93 79.71 137.23 0.58 0.93
 75.13 81.60 137.21 0.59 0.92
 72.92 78.69 137.09 0.57 0.93
 75.46 81.41 137.25 0.59 0.93
 75.78 81.92 137.18 0.60 0.93
 76.55 81.20 137.20 0.59 0.94
 73.19 79.46 137.04 0.58 0.92
 74.88 81.23 137.31 0.59 0.92
 73.46 79.30 137.12 0.58 0.93
 75.20 80.98 137.17 0.59 0.93
 73.59 79.41 137.18 0.58 0.93
 72.85 78.83 137.25 0.57 0.92
 72.66 78.51 137.15 0.57 0.93
 75.19 81.34 137.26 0.59 0.92
 74.84 80.96 137.24 0.59 0.92
 76.09 81.61 137.20 0.59 0.93
 73.62 80.12 137.14 0.58 0.92
 74.86 80.53 137.26 0.59 0.93
 73.38 79.79 137.21 0.58 0.92
 73.55 78.98 137.32 0.58 0.93
 75.63 81.26 137.11 0.59 0.93
 77.33 83.90 137.26 0.61 0.92
 73.99 80.34 137.16 0.59 0.92
 73.15 78.63 137.23 0.57 0.93
 77.30 83.16 137.22 0.61 0.93
 73.95 80.11 137.23 0.58 0.92
 75.43 81.23 137.26 0.59 0.93
 71.39 77.95 137.13 0.57 0.92
 75.35 81.33 137.20 0.59 0.93
 75.71 81.30 137.28 0.59 0.93
 73.41 80.12 137.10 0.58 0.92
 74.04 79.70 137.21 0.58 0.93
 76.86 82.37 137.08 0.60 0.93
 75.55 80.80 137.30 0.59 0.94
 72.63 79.28 137.10 0.58 0.92
 75.02 81.17 137.25 0.59 0.92
 76.45 82.28 137.20 0.60 0.93
 74.95 80.67 137.27 0.59 0.93
 72.74 79.80 137.19 0.58 0.91
 74.11 79.24 137.29 0.58 0.94
